amount_sum counts time
278088993918500000 3 1525996800
68591976336000000 1 1526342400
68591971913300000 1 1526428800
140081164500000 1 1526688000
130810532946668400 2 1527033600
649949995000000 1 1527638400
599949990000000 1 1528156800
1139889940000000 2 1528502400
124790550372404128 2 1528761600
62541821490061064 3 1528848000
123119504596124080 3 1528934400
58152555659305104 9 1529020800
47225702604235328 5 1529107200
2260587434958310 10 1529193600
2461756656796128 11 1529280000
1754859245344431 8 1529366400
2160982245883006 10 1529452800
5964168943191713 4 1529539200
310979979793933 2 1529625600
208999980293933 1 1529712000
44054641381959296 1 1530144000
519949920000000 1 1531440000
43970873946782856 1 1531872000
43939151508322856 1 1531958400
43939653407722856 2 1532044800
44091101373322856 2 1532390400
48657615038378552 11 1532476800
298628038970968 1 1532908800
9346819710046944 5 1532995200
3148073830523971 2 1533081600
42722461385594608 11 1533340800
4101898994550742 4 1533427200
1007875902427573 1 1533513600
4021272331822242 4 1533600000
984293496574878 1 1533686400
3650640767152110 2 1533772800
3963579365710309 3 1534032000
2699991373700000 1 1534204800
5249982745900000 2 1534291200
2549991372200000 1 1534377600
2499991371700000 1 1534464000
5100797311894863 10 1534636800
863180539983473 3 1534723200
2399991370700000 1 1534896000
2349991370200000 1 1535241600
39058797699190472 1 1535500800
121219168202662 1 1535587200
41185566497140472 2 1535673600
2199991369200000 1 1536105600
38888302547287624 1 1536192000
836389349896152 4 1536278400
39679658683813776 5 1536364800
208411722793933 1 1536537600
41308223849567624 7 1536969600
2149991368700000 1 1537056000
2099991368200000 1 1537228800
38279844679567624 1 1537315200
101779759500000 1 1537401600
34482685073644504 2 1537488000
37481358761560856 4 1537574400
9504264794880720 4 1538179200
9503543824099688 4 1538265600
44174960925344856 19 1538352000
1999999999000000 2 1538611200
191927418717788 1 1538870400
638317828925319 3 1538956800
226069796126567488 96 1539129600
78594344409529984 29 1539216000
55341437400517696 22 1539302400
49723670836140168 24 1539388800
13938363036292212 6 1539475200
20394041959679332 7 1539561600
24433598562340556 9 1539648000
29103608753969600 13 1539734400
68878255989911568 18 1539820800
33225670186197832 8 1539907200
27691411381919860 8 1539993600
56032699828813520 17 1540080000
73204647317968576 27 1540166400
65325955198896776 24 1540252800
53142195674576816 26 1540339200
77480388316272816 22 1540425600
64720373252637648 16 1540512000
51450239967161176 12 1540598400
64267225525811336 18 1540684800
46840722214787016 10 1540771200
62681423191839608 14 1540857600
66350383392980272 12 1540944000
38691272029153720 10 1541030400
38603341189764272 10 1541116800
36037503110241232 11 1541203200
36614018580165408 7 1541289600
57172056799009376 10 1541376000
37881503145202800 10 1541462400
46894877519413408 12 1541548800
61971837855805000 14 1541635200
67709513900494968 13 1541721600
36565735237522600 8 1541808000
35566620469838572 6 1541894400
35693905541823484 7 1541980800
